IpAddress,AssetNumber,MachineName,Site,IsOnline,LastPingTime,CurrentTime,TimeSinceLastPing,CheckThis
192.168.1.168,100001,Mazak 1,east_aurora,FALSE,8/21/2023 20:21,8/26/2023 20:40,120.3301022,FALSE
192.168.1.181,100002,Mazak 2,east_aurora,FALSE,8/21/2023 20:21,8/26/2023 20:40,120.3302632,FALSE
192.168.1.170,100003,Mazak 3,east_aurora,TRUE,8/26/2023 20:40,8/26/2023 20:40,0,FALSE
192.168.1.180,100004,Mazak 4,east_aurora,FALSE,8/21/2023 20:21,8/26/2023 20:40,120.3305333,FALSE
192.168.1.190,100005,Mazak 5,east_aurora,FALSE,8/21/2023 20:21,8/26/2023 20:40,120.3308086,FALSE
192.168.1.169,100006,Mazak 6,east_aurora,TRUE,8/26/2023 20:40,8/26/2023 20:40,0,FALSE
192.168.1.150,100007,Mazak 7,east_aurora,,,,,
192.168.1.151,100008,Mazak 8,east_aurora,,,,,
192.168.1.152,100009,Mazak 9,east_aurora,,,,,
192.168.1.153,100010,Mazak 10,east_aurora,,,,,
192.168.1.154,100011,Mazak 11,east_aurora,,,,,
192.168.1.155,100012,Mazak 12,east_aurora,,,,,
192.168.1.156,100013,Mazak 13,east_aurora,,,,,
192.168.1.157,100014,Mazak 14,east_aurora,,,,,
192.168.1.158,100015,Mazak 15,east_aurora,,,,,
192.168.1.159,100016,Mazak 16,east_aurora,,,,,
